Idx	myDate	Value	SMA	Distance	Account	Trend
246	2000-12-11	0,00	0,00	0,0000	0,00	0
247	2000-12-12	0,00	0,00	0,0000	0,00	0
248	2000-12-13	0,00	0,00	0,0000	0,00	0
249	2000-12-14	0,00	0,00	0,0000	0,00	0
250	2000-12-15	0,00	0,00	0,0000	0,00	0
251	2000-12-18	0,00	0,00	0,0000	0,00	0
252	2000-12-19	0,00	0,00	0,0000	0,00	0
253	2000-12-20	0,00	0,00	0,0000	0,00	0
254	2000-12-21	0,00	0,00	0,0000	0,00	0
255	2000-12-22	0,00	0,00	0,0000	0,00	0
256	2000-12-25	0,00	0,00	0,0000	0,00	0
257	2000-12-26	0,00	0,00	0,0000	0,00	0
258	2000-12-27	0,00	0,00	0,0000	0,00	0
259	2000-12-28	0,00	0,00	0,0000	0,00	0
260	2000-12-29	0,00	0,00	0,0000	0,00	0
261	2001-01-01	0,00	0,00	0,0000	0,00	0
262	2001-01-02	0,00	0,00	0,0000	0,00	0
263	2001-01-03	0,00	0,00	0,0000	0,00	0
264	2001-01-04	0,00	0,00	0,0000	0,00	0
265	2001-01-05	0,00	0,00	0,0000	0,00	0
266	2001-01-08	0,00	0,00	0,0000	0,00	0
267	2001-01-09	0,00	0,00	0,0000	0,00	0
268	2001-01-10	0,00	0,00	0,0000	0,00	0
269	2001-01-11	0,00	0,00	0,0000	0,00	0
270	2001-01-12	0,00	0,00	0,0000	0,00	0
271	2001-01-15	0,00	0,00	0,0000	0,00	0
272	2001-01-16	0,00	0,00	0,0000	0,00	0
273	2001-01-17	0,00	0,00	0,0000	0,00	0
274	2001-01-18	0,00	0,00	0,0000	0,00	0
275	2001-01-19	0,00	0,00	0,0000	0,00	0
276	2001-01-22	0,00	0,00	0,0000	0,00	0
277	2001-01-23	0,00	0,00	0,0000	0,00	0
278	2001-01-24	0,00	0,00	0,0000	0,00	0
279	2001-01-25	0,00	0,00	0,0000	0,00	0
280	2001-01-26	0,00	0,00	0,0000	0,00	0
281	2001-01-29	0,00	0,00	0,0000	0,00	0
282	2001-01-30	0,00	0,00	0,0000	0,00	0
283	2001-01-31	0,00	0,00	0,0000	0,00	0
284	2001-02-01	0,00	0,00	0,0000	0,00	0
285	2001-02-02	0,00	0,00	0,0000	0,00	0
286	2001-02-05	0,00	0,00	0,0000	0,00	0
287	2001-02-06	0,00	0,00	0,0000	0,00	0
288	2001-02-07	0,00	0,00	0,0000	0,00	0
289	2001-02-08	0,00	0,00	0,0000	0,00	0
290	2001-02-09	0,00	0,00	0,0000	0,00	0
291	2001-02-12	0,00	0,00	0,0000	0,00	0
292	2001-02-13	0,00	0,00	0,0000	0,00	0
293	2001-02-14	0,00	0,00	0,0000	0,00	0
294	2001-02-15	0,00	0,00	0,0000	0,00	0
295	2001-02-16	0,00	0,00	0,0000	0,00	0
296	2001-02-19	0,00	0,00	0,0000	0,00	0
297	2001-02-20	0,00	0,00	0,0000	0,00	0
298	2001-02-21	0,00	0,00	0,0000	0,00	0
299	2001-02-22	0,00	0,00	0,0000	0,00	0
300	2001-02-23	0,00	0,00	0,0000	0,00	0
301	2001-02-26	0,00	0,00	0,0000	0,00	0
302	2001-02-27	0,00	0,00	0,0000	0,00	0
303	2001-02-28	0,00	0,00	0,0000	0,00	0
304	2001-03-01	0,00	0,00	0,0000	0,00	0
305	2001-03-02	0,00	0,00	0,0000	0,00	0
306	2001-03-05	0,00	0,00	0,0000	0,00	0
307	2001-03-06	0,00	0,00	0,0000	0,00	0
308	2001-03-07	0,00	0,00	0,0000	0,00	0
309	2001-03-08	0,00	0,00	0,0000	0,00	0
310	2001-03-09	0,00	0,00	0,0000	0,00	0
311	2001-03-12	0,00	0,00	0,0000	0,00	0
312	2001-03-13	0,00	0,00	0,0000	0,00	0
313	2001-03-14	0,00	0,00	0,0000	0,00	0
314	2001-03-15	0,00	0,00	0,0000	0,00	0
315	2001-03-16	0,00	0,00	0,0000	0,00	0
316	2001-03-19	0,00	0,00	0,0000	0,00	0
317	2001-03-20	0,00	0,00	0,0000	0,00	0
318	2001-03-21	0,00	0,00	0,0000	0,00	0
319	2001-03-22	0,00	0,00	0,0000	0,00	0
320	2001-03-23	0,00	0,00	0,0000	0,00	0
321	2001-03-26	0,00	0,00	0,0000	0,00	0
322	2001-03-27	0,00	0,00	0,0000	0,00	0
323	2001-03-28	0,00	0,00	0,0000	0,00	0
324	2001-03-29	0,00	0,00	0,0000	0,00	0
325	2001-03-30	0,00	0,00	0,0000	0,00	0
326	2001-04-02	0,00	0,00	0,0000	0,00	0
327	2001-04-03	0,00	0,00	0,0000	0,00	0
328	2001-04-04	0,00	0,00	0,0000	0,00	0
329	2001-04-05	0,00	0,00	0,0000	0,00	0
330	2001-04-06	0,00	0,00	0,0000	0,00	0
331	2001-04-09	0,00	0,00	0,0000	0,00	0
332	2001-04-10	0,00	0,00	0,0000	0,00	0
333	2001-04-11	0,00	0,00	0,0000	0,00	0
334	2001-04-12	0,00	0,00	0,0000	0,00	0
335	2001-04-13	0,00	0,00	0,0000	0,00	0
